Transcript	GO.IDs
TR385167|c2_g3_i6	GO:0003674
TR385169|c1_g1_i3	
TR385170|c1_g2_i1	GO:0003674
TR385170|c1_g3_i2	GO:0003824
TR385171|c24_g12_i1	
TR385171|c24_g2_i1	
TR385171|c24_g4_i2	
TR385171|c24_g4_i3	
TR385172|c2_g5_i1	
TR385172|c3_g2_i1	
TR385172|c4_g1_i1	
TR385172|c4_g1_i2	
TR385172|c4_g2_i1	GO:0005789;GO:0016021
TR385173|c7_g2_i1	GO:0003674
TR385174|c4_g3_i1	
TR385174|c4_g6_i1	
TR385174|c4_g6_i2	
TR385174|c6_g2_i1	
TR385174|c6_g3_i1	
TR385174|c6_g4_i1	
TR385174|c6_g4_i2	
TR385174|c6_g4_i3	
TR385174|c6_g4_i4	
TR385175|c2_g1_i2	
TR385175|c3_g1_i2	GO:0043167
TR385175|c3_g1_i3	GO:0043167
TR385176|c3_g1_i1	GO:0016021
TR385176|c3_g1_i2	GO:0016021
TR385176|c3_g1_i3	GO:0016021
TR385177|c3_g1_i2	
TR385177|c3_g1_i4	
TR385177|c4_g1_i1	
TR385177|c4_g1_i6	
TR385177|c4_g2_i1	GO:0004222;GO:0005515;GO:0005758;GO:0006508;GO:0006518
TR385177|c4_g2_i3	GO:0004222;GO:0005515;GO:0005758;GO:0006508;GO:0006518
TR385177|c4_g2_i4	GO:0004222;GO:0005758;GO:0006508;GO:0006518;GO:0035556;GO:0042277
TR385178|c5_g1_i5	GO:0003964;GO:0004519;GO:0006278;GO:0090305
TR385179|c17_g1_i1	GO:0005488;GO:0007186;GO:0008528;GO:0016021
TR385179|c17_g1_i2	GO:0005488;GO:0007186;GO:0008528;GO:0016021
TR385179|c19_g2_i5	
TR385179|c19_g2_i7	
TR385180|c3_g1_i1	
TR385180|c3_g1_i4	
TR385180|c3_g1_i6	
TR385180|c3_g1_i7	
TR385181|c2_g1_i1	GO:0005524;GO:0016021;GO:0042626;GO:0055085
TR385181|c2_g1_i2	GO:0005524;GO:0016021;GO:0042626;GO:0055085
TR385182|c7_g1_i2	
TR385182|c8_g5_i2	
TR385183|c17_g1_i1	GO:0005575;GO:0008233
TR385183|c17_g1_i2	GO:0005575;GO:0008233
TR385183|c17_g1_i4	GO:0005575;GO:0008233
TR385183|c17_g2_i1	
TR385183|c18_g3_i5	
TR385183|c18_g4_i3	
TR385183|c18_g4_i5	
TR385184|c1_g1_i1	
TR385185|c1_g1_i1	GO:0003676;GO:0008270;GO:0015074
TR385185|c2_g1_i3	GO:0003676;GO:0008270;GO:0015074
TR385185|c2_g1_i6	GO:0043167
TR385185|c3_g1_i1	
TR385185|c3_g2_i2	
TR385186|c3_g1_i1	GO:0003723;GO:0003964;GO:0006278
TR385186|c3_g2_i1	GO:0000245;GO:0008270;GO:0016579;GO:0036459
TR385187|c2_g3_i1	GO:0005886;GO:0007155;GO:0043167
TR385188|c10_g2_i1	
TR385188|c10_g3_i10	
TR385188|c10_g3_i11	
TR385188|c10_g3_i14	
TR385188|c10_g3_i3	
TR385188|c10_g3_i6	
TR385188|c10_g3_i7	
TR385188|c11_g1_i1	
TR385188|c11_g1_i4	
TR385189|c2_g1_i1	
TR385190|c6_g1_i1	
TR385190|c6_g2_i3	
TR385190|c6_g4_i1	
TR385190|c7_g3_i1	
TR385190|c7_g4_i1	
TR385190|c7_g5_i1	
TR385191|c3_g1_i2	
TR385191|c3_g1_i4	
TR385192|c1_g1_i1	GO:0003924;GO:0005525
TR385192|c1_g2_i1	
TR385192|c1_g2_i2	GO:0003924;GO:0005525
TR385193|c6_g1_i2	GO:0003676;GO:0044424
TR385193|c6_g1_i3	GO:0000166;GO:0003676;GO:0019013;GO:1990904
TR385193|c7_g6_i1	
TR385193|c7_g6_i3	
TR385194|c4_g1_i1	
TR385194|c4_g3_i1	
TR385194|c4_g3_i2	
TR385194|c4_g3_i3	
TR385194|c4_g3_i5	
TR385194|c4_g4_i1	
TR385195|c4_g1_i1	
TR385195|c4_g2_i3	
TR385195|c4_g2_i4	
TR385196|c1_g2_i1	
TR385196|c2_g1_i2	GO:0003674;GO:0006259
TR385196|c2_g1_i3	
TR385196|c2_g1_i4	GO:0003676;GO:0003824;GO:0015074
TR385196|c2_g1_i7	GO:0003674;GO:0006259
TR385198|c6_g2_i1	
TR385198|c6_g2_i3	
TR385198|c7_g4_i1	
TR385199|c1_g1_i1	GO:0002003;GO:0005737;GO:0005886;GO:0008270;GO:0044425;GO:0070006
TR385199|c1_g1_i2	GO:0002003;GO:0008270;GO:0044425;GO:0044464;GO:0070006
TR385200|c2_g1_i1	GO:0003676;GO:0004190;GO:0006508;GO:0015074
TR385200|c2_g1_i3	
TR385200|c4_g3_i3	
TR385201|c10_g1_i1	
TR385201|c10_g5_i1	
TR385201|c10_g6_i1	
TR385201|c12_g1_i3	GO:0003958;GO:0005737;GO:0010181;GO:0055114
TR385201|c13_g2_i1	
TR385201|c13_g3_i1	
TR385201|c13_g4_i1	
TR385202|c1_g2_i1	
TR385202|c1_g2_i2	
TR385202|c1_g3_i3	
TR385203|c12_g3_i1	
TR385203|c12_g4_i1	GO:0003674;GO:0005576;GO:0008150
TR385203|c12_g6_i1	
TR385204|c6_g1_i5	
TR385204|c6_g2_i5	
TR385205|c2_g2_i1	GO:0043167
TR385205|c2_g4_i1	GO:0043167
TR385206|c2_g1_i2	GO:0005509;GO:0043229
TR385206|c2_g1_i3	GO:0005509;GO:0043229
TR385206|c2_g2_i1	
TR385207|c0_g1_i1	
TR385207|c0_g1_i10	
TR385207|c0_g1_i2	
TR385207|c0_g1_i6	
TR385207|c0_g1_i8	
TR385207|c0_g3_i1	
TR385207|c0_g5_i1	
TR385207|c0_g5_i2	
TR385207|c1_g1_i1	GO:0003674
TR385208|c3_g1_i1	
TR385208|c3_g2_i1	GO:0003674
TR385209|c3_g1_i1	GO:0007165;GO:0008289
TR385209|c3_g1_i3	
TR385209|c3_g1_i4	GO:0007165;GO:0008289
TR385210|c1_g1_i1	
TR385210|c2_g4_i1	
TR385210|c2_g4_i2	
TR385210|c2_g5_i1	GO:0004842;GO:0006511;GO:0008134;GO:0031463;GO:0042994;GO:0043161;GO:0043433;GO:0044446;GO:0070887
TR385211|c1_g1_i1	GO:0005815
TR385211|c1_g1_i2	GO:0005815
TR385212|c0_g2_i1	GO:0004084;GO:0006082;GO:1901564
TR385212|c0_g2_i2	GO:0004084;GO:0006082;GO:1901564
TR385212|c2_g1_i1	GO:0005488;GO:0006886;GO:0016192;GO:0030123
TR385212|c2_g1_i2	GO:0005488;GO:0006886;GO:0016192;GO:0030123
TR385212|c2_g4_i1	GO:0006886;GO:0016192;GO:0030123
TR385212|c2_g4_i5	GO:0006886;GO:0016192;GO:0030123
TR385212|c2_g4_i8	GO:0006886;GO:0016192;GO:0030123
TR385213|c4_g1_i2	
TR385213|c5_g3_i1	GO:0016491
TR385214|c0_g2_i1	GO:0007160;GO:0009986;GO:0016020;GO:0016021
TR385525|c0_g1_i2	
TR385525|c0_g1_i6	
TR385528|c2_g1_i2	
TR385528|c2_g1_i3	
TR385528|c2_g1_i5	
TR385531|c0_g1_i1	GO:0006629;GO:0016746
TR385531|c0_g1_i2	GO:0006629;GO:0016746
TR385531|c0_g4_i2	GO:0008374;GO:0044255
TR385532|c1_g1_i2	GO:0007165;GO:0046856
TR385532|c1_g1_i3	GO:0007165;GO:0046856
TR385535|c6_g1_i3	
TR385535|c6_g5_i1	
TR385536|c4_g5_i1	
TR385536|c5_g1_i3	
TR385536|c5_g1_i4	
TR385536|c5_g1_i5	
TR385537|c4_g1_i7	GO:0003674
TR385538|c1_g3_i4	GO:0043167
TR385539|c2_g2_i5	
TR385539|c2_g3_i1	GO:0005251;GO:0008076;GO:0034765;GO:0051260;GO:0071805
TR385540|c0_g1_i3	GO:0003674
TR385541|c1_g1_i1	
TR385541|c1_g1_i2	
TR385542|c2_g2_i1	GO:0002169;GO:0004485;GO:0005524;GO:0005759;GO:0015936
TR385544|c1_g10_i1	GO:0003674
TR385544|c1_g10_i3	GO:0003674
TR385544|c1_g10_i5	GO:0003674
TR385544|c1_g3_i1	
TR385544|c1_g5_i1	
TR385544|c1_g8_i1	
TR385545|c3_g2_i3	
TR385546|c2_g2_i4	GO:0003676;GO:0005634
TR385547|c2_g2_i1	GO:0006855;GO:0015238;GO:0016021
TR385548|c3_g4_i2	
TR385549|c4_g2_i2	GO:0004553;GO:0005975;GO:0008061
TR385549|c4_g2_i6	GO:0004568;GO:0005975;GO:0006032;GO:0008061
TR385549|c4_g2_i7	GO:0004568;GO:0005975;GO:0006032;GO:0008061
TR385551|c1_g1_i1	
TR385551|c1_g2_i3	
TR385551|c1_g2_i8	
TR385551|c1_g5_i1	
TR385552|c4_g6_i2	GO:0008270;GO:0016491;GO:0055114
TR385552|c4_g6_i3	GO:0008270;GO:0016491;GO:0055114
TR385552|c4_g6_i4	GO:0008270;GO:0016491;GO:0055114
TR385553|c0_g1_i1	
TR385553|c1_g1_i1	GO:0003677;GO:0005634;GO:0046872
TR385553|c1_g1_i3	GO:0003677;GO:0005634;GO:0046872
TR385553|c1_g2_i1	
TR385553|c1_g2_i2	
TR385554|c2_g3_i4	GO:0005328;GO:0006836;GO:0016021
TR385556|c8_g1_i2	
TR385556|c8_g1_i5	
TR385556|c8_g1_i8	
TR385556|c8_g2_i1	GO:0004021;GO:0009058;GO:0030170
TR385556|c8_g2_i2	GO:0004021;GO:0009058;GO:0030170
TR385556|c8_g3_i1	GO:0004021;GO:0005739;GO:0006103;GO:0009058;GO:0030170;GO:0042851
TR385556|c8_g3_i2	GO:0004021;GO:0005739;GO:0006103;GO:0009058;GO:0030170;GO:0042851;GO:0044421
TR385556|c8_g3_i3	
TR385557|c2_g1_i1	GO:0005634;GO:0006397;GO:0016791
TR385557|c2_g1_i2	GO:0004721;GO:0005634;GO:0006397;GO:0006470
TR385557|c2_g1_i4	GO:0004721;GO:0005634;GO:0006397;GO:0006470
TR385557|c2_g1_i5	GO:0004721;GO:0005634;GO:0006397;GO:0006470
TR385557|c2_g1_i6	GO:0004721;GO:0005634;GO:0006397;GO:0006470
TR385557|c2_g1_i9	GO:0005634;GO:0006397;GO:0016791
TR385557|c2_g2_i2	
TR385558|c2_g1_i6	GO:0007165;GO:0030234
TR385558|c2_g1_i9	GO:0007165;GO:0030234
TR385559|c0_g1_i1	
TR385560|c1_g2_i1	GO:0005576;GO:0008150
TR385560|c1_g2_i4	GO:0005576;GO:0009405
TR385560|c1_g2_i6	GO:0005576;GO:0008150
TR385560|c1_g3_i2	GO:0005576;GO:0008150
TR385563|c0_g1_i1	
TR385564|c1_g1_i1	
TR385564|c2_g1_i2	
TR385566|c0_g1_i1	
TR385566|c0_g2_i1	
TR385566|c2_g1_i1	
TR385567|c2_g2_i1	
TR385567|c2_g2_i12	
TR385567|c2_g2_i5	
TR385567|c2_g4_i1	
TR385570|c1_g1_i1	GO:0005576;GO:0008150;GO:0043167
TR385570|c1_g1_i2	GO:0005576;GO:0008150;GO:0043167
TR385571|c9_g8_i4	
TR385572|c0_g1_i1	GO:0005515;GO:0016020
TR385573|c2_g1_i2	
TR385573|c2_g2_i1	GO:0004721;GO:0005744;GO:0030150
TR385573|c2_g2_i2	GO:0004721;GO:0005744;GO:0030150
TR385573|c2_g2_i3	GO:0004721;GO:0005744;GO:0030150
TR385575|c10_g2_i4	
TR385576|c0_g2_i1	
TR385578|c0_g1_i4	
TR385581|c2_g1_i3	
TR385582|c0_g2_i1	
TR385584|c3_g2_i1	GO:0005575;GO:0006464;GO:0009058;GO:0016757
TR385584|c3_g2_i2	GO:0006486;GO:0008168;GO:0008378;GO:0016020;GO:0032259
TR385584|c3_g2_i5	GO:0005575;GO:0006464;GO:0009058;GO:0016757
TR385586|c2_g3_i5	GO:0005328;GO:0006836;GO:0016021
TR385586|c2_g4_i3	GO:0005328;GO:0006836;GO:0016021;GO:0055085
TR385587|c2_g1_i2	
TR385587|c2_g3_i2	
TR385588|c0_g4_i1	GO:0005737;GO:0005794;GO:0016192;GO:0032991
TR385588|c0_g6_i2	GO:0005737;GO:0005794;GO:0016192;GO:0032991
TR385588|c0_g7_i1	GO:0005737;GO:0005794;GO:0016192;GO:0032991
TR385588|c0_g7_i2	GO:0005737;GO:0005794;GO:0016192;GO:0032991
TR385588|c0_g7_i3	GO:0005737;GO:0005794;GO:0016192;GO:0032991
TR385589|c1_g1_i2	GO:0003723;GO:0005634;GO:0005737;GO:0006913
TR385589|c1_g1_i5	GO:0003723;GO:0005634;GO:0005737;GO:0006913
TR385590|c0_g1_i1	
TR385590|c0_g3_i1	
TR385590|c0_g4_i1	GO:0019904
TR385590|c0_g4_i2	GO:0001751;GO:0003723;GO:0005654;GO:0005739;GO:0005829;GO:0005875;GO:0005886;GO:0005925;GO:0006457;GO:0006588;GO:0006605;GO:0007059;GO:0007294;GO:0008103;GO:0008134;GO:0008283;GO:0008355;GO:0008426;GO:0010906;GO:0016483;GO:0019901;GO:0019904;GO:0030168;GO:0030659;GO:0031625;GO:0031965;GO:0040040;GO:0042470;GO:0042803;GO:0043066;GO:0043488;GO:0045172;GO:0045448;GO:0046579;GO:0046982;GO:0050821;GO:0051683;GO:0070062;GO:0070374;GO:0072562;GO:0090168;GO:1900740
TR385591|c2_g1_i1	GO:0003677;GO:0046872
TR385591|c2_g1_i4	GO:0003677;GO:0046872
TR385592|c3_g1_i1	
TR385592|c3_g2_i1	GO:0005622;GO:0006091;GO:0016491;GO:0032991;GO:0044281
TR385592|c3_g2_i2	GO:0005622;GO:0006091;GO:0016491;GO:0032991;GO:0044281
TR385593|c1_g1_i1	
TR385593|c1_g2_i1	GO:0003723;GO:0004652;GO:0005634;GO:0031123;GO:0043631
TR385593|c1_g2_i2	GO:0003723;GO:0004652;GO:0005634;GO:0031123;GO:0043631
TR385593|c1_g2_i3	GO:0003723;GO:0004652;GO:0005634;GO:0031123;GO:0043631
TR385594|c12_g1_i1	
TR385594|c12_g5_i1	
TR385595|c0_g1_i1	
TR385595|c0_g2_i4	GO:0009306;GO:0016192;GO:0030173
TR385595|c0_g2_i5	GO:0009306;GO:0016192;GO:0030173
TR385596|c17_g1_i2	
TR385597|c0_g1_i1	GO:0005886;GO:0007155;GO:0043167
TR385597|c0_g1_i4	GO:0005886;GO:0007155;GO:0043167
TR385598|c0_g1_i1	GO:0016020
TR385598|c0_g1_i3	
TR385599|c6_g3_i4	GO:0005575;GO:0006464;GO:0009058;GO:0016757
TR385601|c6_g1_i1	GO:0005783;GO:0016491;GO:0043167
TR385602|c3_g1_i1	
TR385602|c3_g1_i4	
TR385602|c4_g1_i1	GO:0003674;GO:0005576;GO:0008150
TR385602|c4_g1_i4	GO:0003674;GO:0005576;GO:0008150
TR385602|c4_g2_i1	
TR385602|c4_g3_i1	GO:0003674;GO:0005576;GO:0008150
TR385602|c4_g3_i2	GO:0003674;GO:0005576;GO:0008150
TR385603|c0_g1_i2	GO:0003674
TR385603|c0_g1_i3	GO:0003674
TR385603|c0_g1_i4	GO:0003674
TR385604|c5_g2_i1	
TR385604|c5_g2_i4	
TR385604|c5_g3_i1	
TR385604|c5_g4_i1	
TR385607|c1_g4_i1	
TR385608|c1_g2_i2	
TR385609|c4_g1_i1	GO:0005575;GO:0055085
TR385609|c4_g1_i3	GO:0005575;GO:0055085
TR385610|c5_g2_i4	
TR385610|c5_g3_i2	
TR385610|c5_g3_i3	
TR385610|c5_g4_i1	
TR385611|c6_g4_i1	
TR385612|c2_g1_i2	
TR385612|c2_g5_i2	
TR385615|c1_g1_i1	
TR385616|c0_g4_i2	
TR385617|c1_g1_i1	GO:0004596;GO:0005515;GO:0017196;GO:0031416
TR385621|c0_g1_i2	
TR385621|c1_g3_i1	
TR385621|c1_g3_i2	
TR385621|c1_g4_i1	
TR385621|c1_g4_i2	
TR385621|c1_g4_i3	
TR385621|c1_g5_i1	
TR385622|c0_g1_i1	GO:0004615;GO:0005737;GO:0009298
TR385622|c1_g11_i1	
TR385622|c1_g11_i2	
TR385622|c1_g7_i2	
TR385623|c0_g1_i2	GO:0003674
TR386552|c2_g1_i1	GO:0003674
TR386552|c2_g1_i4	GO:0003674
TR386552|c2_g2_i2	
TR386553|c2_g2_i1	GO:0005249;GO:0008076;GO:0071805
TR386553|c2_g3_i1	GO:0005216;GO:0006810
TR386553|c2_g3_i2	GO:0005249;GO:0006813;GO:0008076;GO:0051260
TR386554|c2_g1_i1	
TR386554|c2_g2_i2	
TR386555|c2_g1_i1	GO:0043167
TR386555|c2_g4_i1	GO:0003674
TR386556|c0_g1_i2	
TR386560|c0_g2_i1	GO:0005198;GO:0006886;GO:0016192;GO:0030130;GO:0030132;GO:0032051;GO:0048268;GO:0071439
TR386560|c0_g2_i2	GO:0005198;GO:0006886;GO:0016192;GO:0030130;GO:0030132;GO:0032051;GO:0048268;GO:0071439
TR386560|c0_g2_i4	GO:0005198;GO:0006886;GO:0016192;GO:0030130;GO:0030132;GO:0032051;GO:0048268;GO:0071439
TR386561|c4_g1_i1	
TR386561|c4_g1_i2	
TR386561|c4_g2_i2	
TR386564|c0_g1_i3	GO:0003723;GO:0003964;GO:0006278
TR386566|c1_g1_i2	GO:0003723;GO:0003964;GO:0004519;GO:0006278;GO:0090305
TR386568|c6_g2_i1	
TR386568|c6_g2_i2	
TR386570|c4_g3_i1	GO:0016491;GO:0055114
TR386570|c4_g3_i3	GO:0016491
TR386570|c4_g3_i4	GO:0016491;GO:0055114
TR386570|c4_g3_i5	GO:0016491;GO:0055114
TR386570|c4_g3_i6	GO:0016491;GO:0055114
TR386571|c4_g3_i2	
TR386575|c2_g1_i1	
TR386575|c4_g1_i1	
TR386575|c4_g1_i3	
TR386575|c4_g1_i4	
TR386575|c4_g1_i6	
TR386575|c4_g1_i7	
TR386577|c1_g1_i1	GO:0004310;GO:0008610;GO:0016021
TR386577|c2_g3_i3	
TR386577|c2_g3_i4	GO:0005737
TR386577|c2_g3_i6	GO:0005737
TR386578|c1_g1_i1	GO:0005096;GO:0005515;GO:0043547;GO:0046580
TR386578|c1_g1_i4	GO:0005096;GO:0005515;GO:0043547;GO:0046580
TR386580|c3_g1_i1	GO:0005622;GO:0030234
TR386580|c3_g1_i2	GO:0005622;GO:0030234
TR386582|c0_g1_i1	GO:0016020;GO:0016021
TR386582|c0_g1_i3	GO:0016020;GO:0016021
TR386582|c0_g1_i4	GO:0016020;GO:0016021
TR386583|c0_g1_i1	GO:0003777;GO:0005524;GO:0005874;GO:0007018;GO:0008017
TR386583|c0_g1_i2	GO:0003777;GO:0005524;GO:0005874;GO:0007018;GO:0008017
TR386583|c0_g2_i1	GO:0003777;GO:0005524;GO:0005874;GO:0006810;GO:0007018;GO:0008017;GO:0016020
TR386585|c0_g1_i4	GO:0003964;GO:0006278
TR386586|c0_g2_i1	
TR386586|c0_g2_i2	
TR386587|c1_g1_i2	
TR386587|c2_g1_i5	GO:0000090;GO:0000165;GO:0000209;GO:0002223;GO:0002479;GO:0004298;GO:0005515;GO:0005654;GO:0005829;GO:0006521;GO:0019773;GO:0031145;GO:0033209;GO:0038061;GO:0038095;GO:0043488;GO:0050852;GO:0051436;GO:0051437;GO:0060071;GO:0070062;GO:0090090;GO:0090263
TR386587|c2_g1_i6	GO:0000090;GO:0000165;GO:0000209;GO:0002223;GO:0002479;GO:0004298;GO:0005515;GO:0005654;GO:0005829;GO:0006521;GO:0019773;GO:0031145;GO:0033209;GO:0038061;GO:0038095;GO:0043488;GO:0050852;GO:0051436;GO:0051437;GO:0060071;GO:0070062;GO:0090090;GO:0090263
TR386595|c1_g2_i2	
TR386595|c2_g1_i1	
TR386597|c1_g1_i3	GO:0003674
TR386599|c1_g2_i4	
TR386599|c1_g6_i1	
TR386600|c1_g1_i2	
TR386600|c1_g1_i4	GO:0005795;GO:0008455;GO:0009312;GO:0016020;GO:0016021
TR386600|c1_g2_i1	GO:0005575;GO:0005975;GO:0016757
TR386600|c1_g2_i2	GO:0005575;GO:0005975;GO:0016757
TR386601|c1_g1_i1	
TR386601|c1_g1_i2	
TR386606|c1_g1_i1	
TR386606|c1_g1_i3	
TR386606|c1_g1_i4	
TR386607|c1_g1_i1	
TR386607|c2_g3_i1	
TR386607|c2_g3_i2	
TR386607|c2_g4_i1	
TR386607|c2_g4_i2	
TR386607|c2_g4_i5	
TR386608|c2_g1_i10	
TR386609|c2_g4_i7	GO:0016491
TR386611|c1_g2_i2	
TR386612|c1_g1_i1	GO:0004871;GO:0005575;GO:0022857
TR386612|c1_g1_i2	GO:0004871;GO:0005575;GO:0022857
TR386614|c3_g1_i2	GO:0008152;GO:0008484
TR386614|c3_g2_i1	GO:0003824;GO:0008152
TR386615|c1_g1_i1	
TR386615|c1_g1_i2	
TR386615|c2_g1_i1	
TR386615|c2_g2_i1	GO:0016715;GO:0055114
TR386615|c2_g2_i3	GO:0016491
TR386615|c2_g2_i4	GO:0016491
TR386615|c2_g2_i5	
TR386615|c2_g3_i3	GO:0004497
TR386615|c2_g3_i4	GO:0005507;GO:0016715;GO:0055114
TR386615|c2_g3_i6	GO:0003824
TR386615|c2_g3_i7	GO:0005507;GO:0016715;GO:0055114
TR386618|c12_g5_i3	GO:0004222;GO:0006508
TR386618|c12_g6_i1	
TR386619|c0_g1_i1	GO:0008168;GO:0032259
TR386620|c5_g1_i1	
TR386620|c5_g4_i1	
TR386621|c2_g1_i1	
TR386621|c3_g4_i4	GO:0000213;GO:0000214;GO:0000379;GO:0090501
TR386622|c1_g1_i1	
TR386622|c1_g1_i2	
TR386622|c1_g1_i3	
TR386623|c4_g3_i1	
TR386623|c4_g4_i1	
TR386624|c0_g1_i1	
TR386624|c0_g1_i4	
TR386624|c0_g1_i6	
TR386624|c0_g1_i7	
TR386624|c0_g1_i9	
TR386624|c1_g1_i2	GO:0008146;GO:0016020;GO:0016021
TR386624|c1_g1_i3	GO:0008146;GO:0016020;GO:0016021
TR386626|c1_g3_i1	
TR386626|c1_g3_i3	
TR386631|c1_g1_i1	
TR386631|c1_g2_i1	GO:0005634;GO:0009058;GO:0034641;GO:0043167
TR386631|c1_g2_i2	GO:0005634;GO:0009058;GO:0034641;GO:0043167
TR386631|c1_g2_i4	GO:0005634;GO:0009058;GO:0034641;GO:0043167
TR386633|c3_g2_i1	
TR386633|c3_g3_i1	
TR386633|c3_g3_i2	
TR386634|c4_g4_i1	GO:0000815;GO:0007034;GO:0007076;GO:0016192;GO:0016363
TR386635|c2_g2_i1	
TR386635|c2_g2_i3	
TR386635|c2_g2_i6	
TR386636|c0_g3_i1	
TR386636|c0_g5_i1	
TR386638|c12_g1_i1	
TR386638|c13_g3_i1	
TR386638|c13_g3_i2	
TR386639|c1_g1_i1	GO:0003674
TR386639|c1_g1_i3	GO:0003674
TR386640|c0_g1_i2	GO:0003676;GO:0004190;GO:0006508;GO:0015074
TR386641|c1_g1_i2	GO:0005856
TR386641|c1_g1_i3	GO:0005856
TR386642|c1_g2_i1	GO:0003674
TR386642|c1_g2_i2	GO:0003674
TR386642|c1_g2_i4	GO:0003674
TR386642|c1_g2_i5	GO:0003674
TR386643|c1_g2_i1	GO:0016020
TR386644|c0_g2_i1	
TR386645|c2_g2_i2	
TR386645|c2_g3_i1	
TR386645|c2_g3_i2	
TR386646|c1_g2_i3	
TR386646|c1_g9_i1	
TR386647|c7_g1_i2	GO:0004675;GO:0004702;GO:0005524;GO:0006468;GO:0007178;GO:0016020
TR386647|c7_g1_i6	GO:0000186;GO:0001525;GO:0001822;GO:0001824;GO:0001937;GO:0001938;GO:0002088;GO:0003222;GO:0003223;GO:0003342;GO:0004702;GO:0005025;GO:0005114;GO:0005524;GO:0005768;GO:0005901;GO:0005923;GO:0007050;GO:0008354;GO:0008584;GO:0009791;GO:0009952;GO:0009986;GO:0010862;GO:0016323;GO:0016324;GO:0018105;GO:0018107;GO:0030199;GO:0030307;GO:0030335;GO:0030512;GO:0031396;GO:0031625;GO:0032331;GO:0032924;GO:0042060;GO:0042118;GO:0043393;GO:0043542;GO:0043627;GO:0044877;GO:0045602;GO:0045893;GO:0046777;GO:0046872;GO:0046982;GO:0048538;GO:0048663;GO:0048701;GO:0050431;GO:0051491;GO:0051496;GO:0051897;GO:0060017;GO:0060021;GO:0060037;GO:0060043;GO:0060391;GO:0060412;GO:0060982;GO:0070022;GO:0070411;GO:0070723;GO:1905007;GO:1905075;GO:2001235;GO:2001237
TR386647|c8_g2_i2	
TR386648|c2_g1_i1	
TR386648|c2_g1_i3	
TR386648|c2_g1_i4	
TR386648|c2_g1_i5	GO:0016020
TR386648|c2_g2_i1	
TR386648|c2_g3_i1	
TR386648|c2_g4_i1	
TR386648|c2_g5_i1	
TR386650|c0_g1_i2	GO:0003676;GO:0003700;GO:0005634;GO:0006355;GO:0007442;GO:0009888;GO:0045138;GO:0048513;GO:0048523;GO:0072359
TR387034|c0_g1_i1	GO:0003674
TR387034|c0_g1_i5	GO:0003674
TR387034|c0_g2_i1	GO:0005575;GO:0007155
TR387035|c1_g1_i1	GO:0043167
TR387036|c0_g2_i2	GO:0007165;GO:0019899
TR387037|c8_g2_i13	GO:0005515;GO:0008168;GO:0032259
TR387037|c8_g2_i14	GO:0003674
TR387038|c16_g1_i1	
TR387038|c16_g2_i1	
TR387038|c16_g4_i1	
TR387039|c7_g1_i4	
TR387040|c0_g1_i1	GO:0004871;GO:0005575
TR387041|c0_g1_i2	
TR387041|c0_g1_i3	
TR387041|c0_g2_i1	
TR387042|c11_g1_i1	
TR387043|c4_g3_i3	
TR387043|c4_g3_i5	
TR387044|c2_g2_i6	
TR387045|c0_g1_i1	GO:0003924;GO:0005525;GO:0072583
TR387045|c0_g2_i1	
TR387045|c0_g2_i3	
TR387047|c5_g1_i1	
TR387047|c5_g4_i1	
TR387047|c5_g7_i2	GO:0006511;GO:0016567;GO:0070735
TR387048|c1_g2_i1	GO:0003674
TR387049|c1_g1_i1	
TR387049|c1_g1_i4	
TR387049|c1_g1_i6	
TR387050|c10_g1_i1	
TR387050|c11_g3_i2	
TR387050|c11_g5_i2	
TR387050|c11_g6_i1	
TR387050|c11_g7_i1	
TR387052|c5_g1_i1	
TR387052|c5_g1_i2	
TR387052|c5_g1_i3	
TR387052|c5_g2_i1	
TR387052|c5_g2_i2	
TR387052|c5_g3_i1	
TR387052|c5_g3_i4	
TR387053|c0_g1_i1	GO:0000502;GO:0005634;GO:0005737;GO:0006974;GO:0016504;GO:0044238;GO:0044260;GO:0070577;GO:0070628
TR387053|c0_g1_i3	GO:0000502;GO:0005634;GO:0005737;GO:0006974;GO:0016504;GO:0044238;GO:0044260;GO:0070577;GO:0070628
TR387054|c1_g1_i1	
TR387054|c1_g2_i1	
TR387056|c5_g1_i1	
TR387056|c5_g2_i1	
TR387056|c5_g5_i1	
TR387056|c5_g5_i2	
TR387056|c5_g7_i1	
TR387056|c6_g1_i1	
TR387056|c6_g1_i2	
TR387057|c3_g2_i2	
TR387058|c0_g1_i3	
TR387059|c5_g3_i1	GO:0000122;GO:0001764;GO:0001893;GO:0001937;GO:0001972;GO:0003707;GO:0003714;GO:0004879;GO:0005634;GO:0006629;GO:0007519;GO:0008270;GO:0009566;GO:0009952;GO:0009956;GO:0010596;GO:0030522;GO:0030900;GO:0032355;GO:0042803;GO:0043401;GO:0043565;GO:0045736;GO:0045893;GO:0048514;GO:0060173;GO:0060674;GO:0060707;GO:0060849
